queue_id,claim_id,topic_category,label,target_platforms,search_queries,preferred_modalities,status,candidate_post_url,candidate_asset_path,review_notes
QUEUE_000001,CLAIM_000001,policy_politics,false_misleading,x|youtube|tiktok,九华山因有人露营失温去世导致封山; 九华山因有人露营失温去世导致封山 图片; 九华山因有人露营失温去世导致封山 视频; 九华山因有人露营失温去世导致封山 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000002,CLAIM_000002,policy_politics,false_misleading,x|youtube|tiktok,免摇号包京牌无车报废？; 免摇号包京牌无车报废？ 图片; 免摇号包京牌无车报废？ 视频; 免摇号包京牌无车报废？ site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000003,CLAIM_000003,policy_politics,false_misleading,x|youtube|tiktok,5月1日起驾考科目加项，难度翻倍; 5月1日起驾考科目加项，难度翻倍 图片; 5月1日起驾考科目加项，难度翻倍 视频; 5月1日起驾考科目加项，难度翻倍 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000004,CLAIM_000004,policy_politics,false_misleading,x|youtube|tiktok,四川绵阳北川发生重大交通事故致3人死亡; 四川绵阳北川发生重大交通事故致3人死亡 图片; 四川绵阳北川发生重大交通事故致3人死亡 视频; 四川绵阳北川发生重大交通事故致3人死亡 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000005,CLAIM_000005,policy_politics,false_misleading,x|youtube|tiktok,凭车牌直接上高速; 凭车牌直接上高速 图片; 凭车牌直接上高速 视频; 凭车牌直接上高速 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000006,CLAIM_000006,policy_politics,false_misleading,x|youtube|tiktok,国资委46号令重新核算养老金; 国资委46号令重新核算养老金 图片; 国资委46号令重新核算养老金 视频; 国资委46号令重新核算养老金 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000007,CLAIM_000007,policy_politics,false_misleading,x|youtube|tiktok,青岛景区清明免票通知; 青岛景区清明免票通知 图片; 青岛景区清明免票通知 视频; 青岛景区清明免票通知 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000008,CLAIM_000008,policy_politics,false_misleading,x|youtube|tiktok,4月1日出台新规，全国严查后排安全带; 4月1日出台新规，全国严查后排安全带 图片; 4月1日出台新规，全国严查后排安全带 视频; 4月1日出台新规，全国严查后排安全带 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000009,CLAIM_000009,policy_politics,false_misleading,x|youtube|tiktok,70岁老人就医新规; 70岁老人就医新规 图片; 70岁老人就医新规 视频; 70岁老人就医新规 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000010,CLAIM_000010,policy_politics,false_misleading,x|youtube|tiktok,江西丰城高速特大事故73人死亡; 江西丰城高速特大事故73人死亡 图片; 江西丰城高速特大事故73人死亡 视频; 江西丰城高速特大事故73人死亡 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
QUEUE_000011,CLAIM_000011,policy_politics,false_misleading,x|youtube|tiktok,长晋高速侧翻事故; 长晋高速侧翻事故 图片; 长晋高速侧翻事故 视频; 长晋高速侧翻事故 site:x.com OR site:youtube.com OR site:tiktok.com,post_text+image|title+thumbnail|screenshot,todo,,,Find public platform post/video matching this checked claim; do not add to sample_manifest until URL and visual evidence are saved.
