claim_id,claim_text,topic_category,label,label_source,label_source_url,keywords,search_queries,notes
CLAIM_000001,九华山因有人露营失温去世导致封山,policy_politics,false_misleading,中国互联网联合辟谣平台 / 今日辟谣,https://www.piyao.org.cn/20260513/fd893370505547f3b9048d2dd94b5dfa/c.html,"详情,互联网,屈绍辉,近日,当前,山西,联合,董晓,晶莹,来源",九华山因有人露营失温去世导致封山; 九华山因有人露营失温去世导致封山 图片; 九华山因有人露营失温去世导致封山 视频; 九华山因有人露营失温去世导致封山 site:x.com OR site:youtube.com OR site:tiktok.com,seeded_from=piyao_jrpy; publish_time=2026-05-13 16:37:59; source_content_id=20260513fd893370505547f3b9048d2dd94b5dfa; needs_platform_match
CLAIM_000002,免摇号包京牌无车报废？,policy_politics,false_misleading,中国互联网联合辟谣平台 / 今日辟谣,https://www.piyao.org.cn/20260509/46e6850ce74e47218111df14c92f9fc3/c.html,"详情,设计,辟谣,互联网,屈绍辉,董晓,联合,晶莹,中国,来源",免摇号包京牌无车报废？; 免摇号包京牌无车报废？ 图片; 免摇号包京牌无车报废？ 视频; 免摇号包京牌无车报废？ site:x.com OR site:youtube.com OR site:tiktok.com,seeded_from=piyao_jrpy; publish_time=2026-05-09 18:09:06; source_content_id=2026050946e6850ce74e47218111df14c92f9fc3; needs_platform_match
CLAIM_000003,5月1日起驾考科目加项，难度翻倍,policy_politics,false_misleading,中国互联网联合辟谣平台 / 今日辟谣,https://www.piyao.org.cn/20260507/9de66b924f864649a79bc3e8125454be/c.html,"详情,互联网,屈绍辉,尹路,文婧,董晓,联合,中国,设计,辟谣",5月1日起驾考科目加项，难度翻倍; 5月1日起驾考科目加项，难度翻倍 图片; 5月1日起驾考科目加项，难度翻倍 视频; 5月1日起驾考科目加项，难度翻倍 site:x.com OR site:youtube.com OR site:tiktok.com,seeded_from=piyao_jrpy; publish_time=2026-05-07 18:41:22; source_content_id=202605079de66b924f864649a79bc3e8125454be; needs_platform_match
CLAIM_000004,四川绵阳北川发生重大交通事故致3人死亡,policy_politics,false_misleading,中国互联网联合辟谣平台 / 今日辟谣,https://www.piyao.org.cn/20260506/3c30bc8bd1eb421ab68ea51166cdd8b0/c.html,"详情,董晓,设计,辟谣,互联网,屈绍辉,平台,中国,联合,来源",四川绵阳北川发生重大交通事故致3人死亡; 四川绵阳北川发生重大交通事故致3人死亡 图片; 四川绵阳北川发生重大交通事故致3人死亡 视频; 四川绵阳北川发生重大交通事故致3人死亡 site:x.com OR site:youtube.com OR site:tiktok.com,seeded_from=piyao_jrpy; publish_time=2026-05-06 16:06:20; source_content_id=202605063c30bc8bd1eb421ab68ea51166cdd8b0; needs_platform_match
CLAIM_000005,凭车牌直接上高速,policy_politics,false_misleading,中国互联网联合辟谣平台 / 今日辟谣,https://www.piyao.org.cn/20260430/6b16adaab6124bf782d1ca75c8aec7f0/c.html,"详情,网信,互联网,屈绍辉,发现,假期,工作,部门,联合,来源",凭车牌直接上高速; 凭车牌直接上高速 图片; 凭车牌直接上高速 视频; 凭车牌直接上高速 site:x.com OR site:youtube.com OR site:tiktok.com,seeded_from=piyao_jrpy; publish_time=2026-04-30 16:24:00; source_content_id=202604306b16adaab6124bf782d1ca75c8aec7f0; needs_platform_match
CLAIM_000006,国资委46号令重新核算养老金,policy_politics,false_misleading,中国互联网联合辟谣平台 / 今日辟谣,https://www.piyao.org.cn/20260428/6b22da2020a24fb8b3aafc06f8bd0640/c.html,,国资委46号令重新核算养老金; 国资委46号令重新核算养老金 图片; 国资委46号令重新核算养老金 视频; 国资委46号令重新核算养老金 site:x.com OR site:youtube.com OR site:tiktok.com,seeded_from=piyao_jrpy; publish_time=2026-04-28 16:00:00; source_content_id=202604286b22da2020a24fb8b3aafc06f8bd0640; needs_platform_match
CLAIM_000007,青岛景区清明免票通知,policy_politics,false_misleading,中国互联网联合辟谣平台 / 今日辟谣,https://www.piyao.org.cn/20260403/7b66dde1186e488189d0ae9c0a846fce/c.html,"详情,互联网,屈绍辉,尹路,董晓,联合,中国,设计,辟谣,来源",青岛景区清明免票通知; 青岛景区清明免票通知 图片; 青岛景区清明免票通知 视频; 青岛景区清明免票通知 site:x.com OR site:youtube.com OR site:tiktok.com,seeded_from=piyao_jrpy; publish_time=2026-04-03 17:42:00; source_content_id=202604037b66dde1186e488189d0ae9c0a846fce; needs_platform_match
CLAIM_000008,4月1日出台新规，全国严查后排安全带,policy_politics,false_misleading,中国互联网联合辟谣平台 / 今日辟谣,https://www.piyao.org.cn/20260402/85b089ce4051458d9bac79d881f23678/c.html,"详情,互联网,屈绍辉,尹路,董晓,联合,中国,设计,辟谣,来源",4月1日出台新规，全国严查后排安全带; 4月1日出台新规，全国严查后排安全带 图片; 4月1日出台新规，全国严查后排安全带 视频; 4月1日出台新规，全国严查后排安全带 site:x.com OR site:youtube.com OR site:tiktok.com,seeded_from=piyao_jrpy; publish_time=2026-04-02 19:37:40; source_content_id=2026040285b089ce4051458d9bac79d881f23678; needs_platform_match
CLAIM_000009,70岁老人就医新规,policy_politics,false_misleading,中国互联网联合辟谣平台 / 今日辟谣,https://www.piyao.org.cn/20260331/68f01a82911340fba64941b256318788/c.html,"详情,近日,时长,互联网,屈绍辉,高三,尹路,平台,联合,设计",70岁老人就医新规; 70岁老人就医新规 图片; 70岁老人就医新规 视频; 70岁老人就医新规 site:x.com OR site:youtube.com OR site:tiktok.com,seeded_from=piyao_jrpy; publish_time=2026-03-31 18:31:19; source_content_id=2026033168f01a82911340fba64941b256318788; needs_platform_match
CLAIM_000010,江西丰城高速特大事故73人死亡,policy_politics,false_misleading,中国互联网联合辟谣平台 / 今日辟谣,https://www.piyao.org.cn/20260205/85d509fd3a544b848c1e096012b76578/c.html,"劳动者,立春,网络,张某,单位,用人,谣言,公安机关,视频,社会",江西丰城高速特大事故73人死亡; 江西丰城高速特大事故73人死亡 图片; 江西丰城高速特大事故73人死亡 视频; 江西丰城高速特大事故73人死亡 site:x.com OR site:youtube.com OR site:tiktok.com,seeded_from=piyao_jrpy; publish_time=2026-02-05 17:19:27; source_content_id=2026020585d509fd3a544b848c1e096012b76578; needs_platform_match
